text,amount_vnd,category,type
Sách Khắc đi khắc đến - Xuân Phượng 145k hôm nay,145000,Giáo dục,Chi tiêu
Cắt tóc 60k,60000,Hớt tóc,Chi tiêu
Thuốc 120k tiền,120000,Sức khỏe,Chi tiêu
Dao cạo râu 22 nghìn,22000,Mỹ phẩm chăm sóc da,Chi tiêu
Hớt tóc 30k ck,30000,Hớt tóc,Chi tiêu
Mượn mẹ 100k ck,100000,Mượn tiền,Thu nhập
Lương tháng 4 2.2tr tiền,2200000,Quà tặng,Thu nhập
Mượn 2 1 triệu 1 triệu,1000000,Mượn tiền,Thu nhập
Thanh toán Đổ xăng 20k,20000,Di chuyển,Chi tiêu
Đổ xăng 20k hôm nay,20000,Di chuyển,Chi tiêu
298000,298000,Giải trí,Chi tiêu
Thanh toán Sinh nhật Linh 220k,220000,Đám tiệc,Chi tiêu
Xem phim công tử bạc liêu 146k tiền,146000,Giải trí,Chi tiêu
Đám cưới Ngân Ngân 400k tiền,400000,Đám tiệc,Chi tiêu
Cho Phát mượn 40k ck,40000,Mượn tiền,Thu nhập
Trả 5 hộp xôi còn thiếu 100k bằng tiền mặt,100000,Tạp phẩm,Chi tiêu
40000,40000,Tạp phẩm,Chi tiêu
Thanh toán Mượn chị 2 đóng học phí 1tr,1000000,Mượn tiền,Thu nhập
Viettel 5G 150 nghìn,150000,4G,Chi tiêu
20000,20000,Tạp phẩm,Chi tiêu
57000,57000,Giải trí,Chi tiêu
101000,101000,Quà tặng,Thu nhập
Mua dầu gội clear 185k tiền,185000,Mỹ phẩm chăm sóc da,Chi tiêu
Uống nước vs bạn 168k,168000,Cafe,Chi tiêu
Mượn 2 mua lẩu 500k hôm nay,500000,Mượn tiền,Thu nhập
Sinh tố bơ 39k,39000,Cafe,Chi tiêu
Xăng 50k ck,50000,Di chuyển,Chi tiêu
Thanh toán Đánh bài 50k,50000,Khác,Chi tiêu
Lì xi 40k hôm nay,40000,Khác,Chi tiêu
Sim 5gb 1.1tr bằng tiền mặt,1050000,4G,Chi tiêu
Cho Phát mượn 40k tiền,40000,Mượn tiền,Thu nhập
Tiền gửi xe đi làm giấy tờ 30k,30000,Di chuyển,Chi tiêu
Uống nước nghe nhạc 40 nghìn,40000,Cafe,Chi tiêu
Mẹ cho 1tr 1tr bằng tiền mặt,1000000,Quà tặng,Thu nhập
Đi bơi 30k ck,30000,Khác,Chi tiêu
Hớt tóc 30 nghìn,30000,Hớt tóc,Chi tiêu
"Sách ""Một đời như kẻ tìm đường"" 135k tiền",135000,Giáo dục,Chi tiêu
Mua bánh xèo vào ăn vs Bằng 100k ck,100000,Giải trí,Chi tiêu
Ăn uống đi bệnh viện 143k hôm nay,143000,Giải trí,Chi tiêu
Đổi xăng 30k tiền,30000,Di chuyển,Chi tiêu
Thay nhớt 115k hôm nay,115000,Di chuyển,Chi tiêu
Đổ xăng 50k ck,50000,Di chuyển,Chi tiêu
Mượn a Hảo tiền mua caffe 50k hôm nay,50000,Trả nợ,Chi tiêu
Mua caffe đi tòa 33k,33000,Cafe,Chi tiêu
Đám cưới Duyên 500k bằng tiền mặt,500000,Đám tiệc,Chi tiêu
50000,50000,Hớt tóc,Chi tiêu
Bame cho 100 nghìn,100000,Khác,Chi tiêu
Trả tiền ship 30 nghìn,30000,Khác,Chi tiêu
Trả tiền ship 30k bằng tiền mặt,30000,Khác,Chi tiêu
Phụ cấp tháng 12/2025 2.3tr bằng tiền mặt,2300000,Phiếu lương,Thu nhập
Thanh toán Thuốc cảm 154k,154000,Sức khỏe,Chi tiêu
160000,160000,Giải trí,Chi tiêu
Ship hàng sim 30k tiền,30000,4G,Chi tiêu
26000,26000,Mỹ phẩm chăm sóc da,Chi tiêu
Mẹ cho 500k bằng tiền mặt,500000,Quà tặng,Thu nhập
Caffe 100k bằng tiền mặt,100000,Mượn tiền,Thu nhập
Mua lăn nách 79k bằng tiền mặt,79000,Sức khỏe,Chi tiêu
Mua caffe đi tòa 33k,33000,Cafe,Chi tiêu
Lì xì 200k bằng tiền mặt,200000,Quà tặng,Thu nhập
300000,300000,Đám tiệc,Chi tiêu
Mạng 5G 150k bằng tiền mặt,150000,4G,Chi tiêu
Tiền  triệuả góp điện thoại tháng 7 830 nghìn,830000,Trả nợ,Chi tiêu
Đám cưới 500k,500000,Đám tiệc,Chi tiêu
Hớt tóc 70k hôm nay,70000,Hớt tóc,Chi tiêu
Thanh toán Sinh nhật Mỹ Nhàn 600k,600000,Đám tiệc,Chi tiêu
Mượn mẹ 100 nghìn,100000,Mượn tiền,Thu nhập
Mượn 2 3tr 3tr bằng tiền mặt,3000000,Mượn tiền,Thu nhập
Wifi tháng 5 65k ck,65000,4G,Chi tiêu
Hớt tóc 100k bằng tiền mặt,100000,Hớt tóc,Chi tiêu
Mạng 5g Viettel 150k hôm nay,150000,4G,Chi tiêu
Gửi xe 5 nghìn,5000,Di chuyển,Chi tiêu
Wifi tháng 5 65k tiền,65000,4G,Chi tiêu
Trả tiền ship 30k,30000,Khác,Chi tiêu
20000,20000,Di chuyển,Chi tiêu
Điện + wifi 222k hôm nay,222000,4G,Chi tiêu
Ship hàng sim 30k,30000,4G,Chi tiêu
200000,200000,Khác,Chi tiêu
210000,210000,Mỹ phẩm chăm sóc da,Chi tiêu
Học phí UIT kỳ 2 7tr bằng tiền mặt,6960000,Giáo dục,Chi tiêu
Ăn uống đi bệnh viện 143 nghìn,143000,Giải trí,Chi tiêu
Thanh toán Caffe vs đám bạn 66k,66000,Cafe,Chi tiêu
Trả nợ chị 2 1.5tr,1500000,Trả nợ,Chi tiêu
"Mua sách ""Đúng Việc"" 105k tiền",105000,Giáo dục,Chi tiêu
Mẹ cho 500k 500k hôm nay,500000,Quà tặng,Thu nhập
Thanh toán Tiền ăn 2 cho 101k,101000,Quà tặng,Thu nhập
Uống nước vs bạn 168k tiền,168000,Cafe,Chi tiêu
Thanh toán Ăn sáng 140k,140000,Tạp phẩm,Chi tiêu
Tiền cọc dt tháng cuối 1 triệu,1000000,Trả nợ,Chi tiêu
50000,50000,Trả nợ,Chi tiêu
Sinh nhật Hậu vs a An vs chị Sương 300 nghìn,300000,Đám tiệc,Chi tiêu
Dây đeo đồng hồ 310k bằng tiền mặt,310000,Khác,Chi tiêu
Thanh toán Hớt tóc 30k,30000,Hớt tóc,Chi tiêu
Mượn tiền 2 đi Đà Lạt 2.5tr tiền,2500000,Trả nợ,Chi tiêu
150000,150000,4G,Chi tiêu
Bông tẩy trang 26k,26000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Mua lốc sữa Ensure cho mami 220k,220000,Sức khỏe,Chi tiêu
78000,78000,Sức khỏe,Chi tiêu
Mượn tiền ăn Cupe Tiên 450k tiền,450000,Trả nợ,Chi tiêu
Thanh toán Mẹ cho 1tr,1000000,Quà tặng,Thu nhập
Thanh toán Mượn a Hảo. Đã trả 100k,100000,Trả nợ,Chi tiêu
Dây cáp mạng 120k ck,120000,4G,Chi tiêu
Bánh  nghìnem sinh nhật Khải 210 nghìn,210000,Đám tiệc,Chi tiêu
Mua bánh xèo vào ăn vs Bằng 100k tiền,100000,Giải trí,Chi tiêu
Lương tháng 7 1.8tr hôm nay,1800000,Phiếu lương,Thu nhập
Bánh  nghìnem sinh nhật Khải 210 nghìn,210000,Đám tiệc,Chi tiêu
Sinh nhật Hậu vs a An vs chị Sương 300k hôm nay,300000,Đám tiệc,Chi tiêu
Phụ cấp tháng 12/2025 2.3tr bằng tiền mặt,2300000,Phiếu lương,Thu nhập
10000,10000,Giải trí,Chi tiêu
Đổ xăng 50k hôm nay,50000,Di chuyển,Chi tiêu
400000,400000,Sức khỏe,Chi tiêu
Đổ xăng 30k,30000,Di chuyển,Chi tiêu
40000,40000,Tạp phẩm,Chi tiêu
Sáp khử mùi 119k bằng tiền mặt,119000,Mỹ phẩm chăm sóc da,Chi tiêu
Học phí kỳ 1 UIT 6.3tr tiền,6320000,Giáo dục,Chi tiêu
Thanh toán Ăn uống vs bạn bè 200k,200000,Giải trí,Chi tiêu
Sinh nhật Mỹ Nhàn 600 nghìn,600000,Đám tiệc,Chi tiêu
Caffe vs đám bạn 66k tiền,66000,Cafe,Chi tiêu
Lương tháng 1 2tr hôm nay,1962000,Phiếu lương,Thu nhập
Mượn tiền ăn Cupe Tiên 450k hôm nay,450000,Trả nợ,Chi tiêu
Cắt tóc 60k bằng tiền mặt,60000,Hớt tóc,Chi tiêu
Ăn sáng cháo x3 60k,60000,Tạp phẩm,Chi tiêu
Thanh toán Mua bánh xèo vào ăn vs Bằng 100k,100000,Giải trí,Chi tiêu
Tiền dt tháng 8 800k ck,800000,Trả nợ,Chi tiêu
Mạng 5g Viettel 150k bằng tiền mặt,150000,4G,Chi tiêu
Xăng 30k tiền,30000,Di chuyển,Chi tiêu
Lương tháng 1 2 triệu,1962000,Phiếu lương,Thu nhập
146000,146000,Giải trí,Chi tiêu
Thanh toán Ăn bánh xèo 80k,80000,Tạp phẩm,Chi tiêu
Đám cưới Oanh 1 triệu,1000000,Giải trí,Chi tiêu
Thay nhớt xe 100k bằng tiền mặt,100000,Di chuyển,Chi tiêu
Thanh toán Cho Hậu mượn 100k 100k,100000,Mượn tiền,Thu nhập
Nc tẩy trang + srm + bông tẩy trang 395k tiền,395000,Mỹ phẩm chăm sóc da,Chi tiêu
Uống nước vs bạn 168k ck,168000,Cafe,Chi tiêu
Mua vé xem phim 2/9 160k bằng tiền mặt,160000,Giải trí,Chi tiêu
Sáp khử mùi 119k bằng tiền mặt,119000,Mỹ phẩm chăm sóc da,Chi tiêu
160000,160000,Giải trí,Chi tiêu
Ăn sinh nhật đại ca 300k hôm nay,300000,Giải trí,Chi tiêu
Mua xà bông gội đầu 30k tiền,30000,Mỹ phẩm chăm sóc da,Chi tiêu
Sinh nhật Hậu vs a An vs chị Sương 300k tiền,300000,Đám tiệc,Chi tiêu
Mua sữa cho bame 98k bằng tiền mặt,98000,Sức khỏe,Chi tiêu
Phụ cấp tháng 12/2025 2.3tr ck,2300000,Phiếu lương,Thu nhập
Áo + 50k giải CLB Runner LA 200k tiền,200000,Trả nợ,Chi tiêu
Mẹ cho 400k ck,400000,Quà tặng,Thu nhập
Cắt tóc 60 nghìn,60000,Hớt tóc,Chi tiêu
Khác 46k,46000,Khác,Chi tiêu
Sinh nhật Mỹ Nhàn 600k bằng tiền mặt,600000,Đám tiệc,Chi tiêu
Mạng 5g Viettel 150 nghìn,150000,4G,Chi tiêu
Làm răng 400k ck,400000,Sức khỏe,Chi tiêu
Mượn chị 2 200k bằng tiền mặt,200000,Mượn tiền,Thu nhập
5 ly nước dừa mời 75k,75000,Tạp phẩm,Chi tiêu
Bán chai nc hoa poss 150 nghìn,150000,Khác,Chi tiêu
Bame cho 100 nghìn,100000,Khác,Chi tiêu
20000,20000,Sức khỏe,Chi tiêu
Mua dầu gội clear 185k hôm nay,185000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Sinh tố bơ 39k,39000,Cafe,Chi tiêu
Mua thuốc 28k bằng tiền mặt,28000,Sức khỏe,Chi tiêu
Xem phim công tử bạc liêu 146k tiền,146000,Giải trí,Chi tiêu
Anh Hiếu mừng sn 200k,200000,Khác,Chi tiêu
Caffe vs đám bạn 66k tiền,66000,Cafe,Chi tiêu
Thanh toán Thuốc 7 ngày 98k,98000,Sức khỏe,Chi tiêu
Trả tiền cupe Tiên 500k hôm nay,500000,Trả nợ,Chi tiêu
Ăn sinh nhật đại ca 300 nghìn,300000,Giải trí,Chi tiêu
Phiếu lương 7.6tr hôm nay,7643000,Phiếu lương,Thu nhập
Mua 2 ngày thuốc cảm 40k bằng tiền mặt,40000,Sức khỏe,Chi tiêu
30000,30000,Di chuyển,Chi tiêu
Xà bông gội đầu 25 nghìn,25000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua caffe đi tòa 33 nghìn,33000,Cafe,Chi tiêu
Mượn tiền ăn Cupe Tiên 450k ck,450000,Trả nợ,Chi tiêu
Mua sách 182 nghìn,182000,Giáo dục,Chi tiêu
Uống nước nghe nhạc 40k hôm nay,40000,Cafe,Chi tiêu
Caffe vs đám bạn 66k,66000,Cafe,Chi tiêu
Xăng xe 50k tiền,50000,Di chuyển,Chi tiêu
Hùng tiền nhậu 100k ck,100000,Đám tiệc,Chi tiêu
Lì xì 50k ck,50000,Quà tặng,Thu nhập
Mẹ cho 500k,500000,Quà tặng,Thu nhập
Đám cưới Oanh 1tr hôm nay,1000000,Giải trí,Chi tiêu
Đổ xăng 50k tiền,50000,Di chuyển,Chi tiêu
Lương tháng 9 2tr hôm nay,1981000,Phiếu lương,Thu nhập
Mua dầu gội clear 185k ck,185000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Sách Khắc đi khắc đến - Xuân Phượng 145k,145000,Giáo dục,Chi tiêu
Không nhớ 18k hôm nay,18000,Khác,Chi tiêu
Tiền cọc dt tháng cuối 1tr hôm nay,1000000,Trả nợ,Chi tiêu
2000,2000,Giáo dục,Chi tiêu
4G 5k bằng tiền mặt,5000,4G,Chi tiêu
Đám cưới Ngân Ngân 400 nghìn,400000,Đám tiệc,Chi tiêu
Thanh toán Khác 24k,24000,Khác,Chi tiêu
Cạo vôi răng 100k,100000,Sức khỏe,Chi tiêu
Xăng 50k,50000,Di chuyển,Chi tiêu
Mua sách 182k ck,182000,Giáo dục,Chi tiêu
Mua vé xem phim 2/9 160k hôm nay,160000,Giải trí,Chi tiêu
Thanh toán Hớt tóc 50k,50000,Hớt tóc,Chi tiêu
Wifi 130k tiền,130000,4G,Chi tiêu
Caffe vs đám bạn 66k tiền,66000,Cafe,Chi tiêu
Trà sữa 40k ck,40000,Cafe,Chi tiêu
Mua đồ ăn cơm 50k ck,50000,Tạp phẩm,Chi tiêu
Đám cưới Ngân Ngân 400k hôm nay,400000,Đám tiệc,Chi tiêu
Mạng 5G 150k tiền,150000,4G,Chi tiêu
Đưa cupe Tiên mượn 150k 150k,150000,Mượn tiền,Thu nhập
Tiền cọc dt tháng cuối 1tr,1000000,Trả nợ,Chi tiêu
Kem rạng da 327k ck,327000,Mỹ phẩm chăm sóc da,Chi tiêu
163000,163000,Giáo dục,Chi tiêu
Phụ cấp tháng 10 2tr tiền,2000000,Phiếu lương,Thu nhập
Ăn sáng 25 nghìn,25000,Tạp phẩm,Chi tiêu
500000,500000,Đám tiệc,Chi tiêu
Thanh toán Trả tiền thiếu 100k,100000,Trả nợ,Chi tiêu
Dán dt cho Mẹ 60k ck,60000,Khác,Chi tiêu
Bán chai nc hoa poss 150k tiền,150000,Khác,Chi tiêu
Nạp tiền dt mua mạng 10k hôm nay,10000,4G,Chi tiêu
Tiền chú Sơn CSGT đãi tiệc chú Tùng 500k bằng tiền mặt,500000,Quà tặng,Thu nhập
3 chuyến bus 18 nghìn,18000,Di chuyển,Chi tiêu
Thanh toán Mua dầu gội clear 185k,185000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Khác 28k,28000,Khác,Chi tiêu
Học phí kỳ 1 UIT 6.3tr tiền,6320000,Giáo dục,Chi tiêu
Thanh toán Học phí kỳ 1 UIT 6.3tr,6320000,Giáo dục,Chi tiêu
168000,168000,Cafe,Chi tiêu
Thay nhông sên dĩa + mua bánh kem + ăn uống lặt vặt 430k hôm nay,430000,Mỹ phẩm chăm sóc da,Chi tiêu
60000,60000,Hớt tóc,Chi tiêu
Mượn mẹ 100 nghìn,100000,Mượn tiền,Thu nhập
Thanh toán Sách: Một cuốn sách về chủ nghĩa tối giản 171k,171000,Giáo dục,Chi tiêu
Dao cạo râu 22k bằng tiền mặt,22000,Mỹ phẩm chăm sóc da,Chi tiêu
Đám cưới Huyền 500k tiền,500000,Đám tiệc,Chi tiêu
Thuốc 7 ngày 98k bằng tiền mặt,98000,Sức khỏe,Chi tiêu
Ăn uống 60k tiền,60000,Tạp phẩm,Chi tiêu
50000,50000,Di chuyển,Chi tiêu
Ăn sáng 50k tiền,50000,Tạp phẩm,Chi tiêu
Cắt tóc 60 nghìn,60000,Hớt tóc,Chi tiêu
Bame cho 100k bằng tiền mặt,100000,Khác,Chi tiêu
Bánh kem sinh nhật chị Nị 145k ck,145000,Đám tiệc,Chi tiêu
Cho Phát mượn 40 nghìn,40000,Mượn tiền,Thu nhập
Thanh toán Khác 100k,100000,Khác,Chi tiêu
Sinh tố bơ 39k ck,39000,Cafe,Chi tiêu
10000,10000,4G,Chi tiêu
Bánh kem sinh nhật Khải 210k hôm nay,210000,Đám tiệc,Chi tiêu
Thanh toán Đổi xăng 30k,30000,Di chuyển,Chi tiêu
25000,25000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua dầu gội clear 185k hôm nay,185000,Mỹ phẩm chăm sóc da,Chi tiêu
Ăn sáng 140k bằng tiền mặt,140000,Tạp phẩm,Chi tiêu
28000,28000,Sức khỏe,Chi tiêu
Mua sách 182k tiền,182000,Giáo dục,Chi tiêu
Thanh toán Khác 2k,2000,Khác,Chi tiêu
Vaselines khô môi 65k bằng tiền mặt,65000,Mỹ phẩm chăm sóc da,Chi tiêu
Xăng xe 50k,50000,Di chuyển,Chi tiêu
Thanh toán Di chuyển 50k,50000,Di chuyển,Chi tiêu
30000,30000,Tạp phẩm,Chi tiêu
Mua đồ ăn cơm 60k tiền,60000,Tạp phẩm,Chi tiêu
Hớt tóc 50k ck,50000,Sức khỏe,Chi tiêu
Mua sữa thăm bệnh a Khoa 85k hôm nay,85000,Tạp phẩm,Chi tiêu
50000,50000,Di chuyển,Chi tiêu
20000,20000,Tạp phẩm,Chi tiêu
Đổ xăng 20k tiền,20000,Di chuyển,Chi tiêu
Thanh toán Ăn bún bò chay 25k,25000,Tạp phẩm,Chi tiêu
Cắt tóc 60 nghìn,60000,Hớt tóc,Chi tiêu
Tiền làm pptx cho Vẹn vs bạn Vẹn 1tr tiền,1000000,Phiếu lương,Thu nhập
100000,100000,Mượn tiền,Thu nhập
Mượn 2 mua lẩu 500k tiền,500000,Mượn tiền,Thu nhập
Hùng tiền tất niên 100 nghìn,100000,Trả nợ,Chi tiêu
Trail leo núi Dinh BR VT 298k tiền,298000,Giải trí,Chi tiêu
Hớt tóc 30k tiền,30000,Hớt tóc,Chi tiêu
Thanh toán Sinh nhật Hậu vs a An vs chị Sương 300k,300000,Đám tiệc,Chi tiêu
Caffe vs đám bạn 66k bằng tiền mặt,66000,Cafe,Chi tiêu
Sách: Hiểu hết về tiền 230k tiền,230000,Giáo dục,Chi tiêu
Thanh toán Bông tẩy trang 26k,26000,Mỹ phẩm chăm sóc da,Chi tiêu
Sữa tắm + lăn khử mùi 210k,210000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Uống nước vs bạn 168k,168000,Cafe,Chi tiêu
Mua bánh 23k tiền,23000,Tạp phẩm,Chi tiêu
Tô phở 64 nghìn,64000,Tạp phẩm,Chi tiêu
Ăn sáng 135k,135000,Tạp phẩm,Chi tiêu
78000,78000,Sức khỏe,Chi tiêu
Hớt tóc 60 nghìn,60000,Hớt tóc,Chi tiêu
Tiền dt tháng 8 800k ck,800000,Trả nợ,Chi tiêu
Cho Khải mua cầu 10k tiền,10000,Giải trí,Chi tiêu
Sinh nhật Hậu vs a An vs chị Sương 300 nghìn,300000,Đám tiệc,Chi tiêu
Cho Khải mua cầu 10k hôm nay,10000,Giải trí,Chi tiêu
Ăn sáng 35 nghìn,35000,Tạp phẩm,Chi tiêu
Thuốc 7 ngày 98k tiền,98000,Sức khỏe,Chi tiêu
30000,30000,Di chuyển,Chi tiêu
"Gửi xe tháng, ăn uống, hớt tóc, mua đồ, cho bà nội. 1.3tr",1256000,Di chuyển,Chi tiêu
Thanh toán Nước đá thả lỏng sau long run 5k,5000,Sức khỏe,Chi tiêu
Ăn cơm trưa 38k ck,38000,Tạp phẩm,Chi tiêu
Uống nước vs bạn 168k ck,168000,Cafe,Chi tiêu
3 ngày đi dạy SC 1tr tiền,1000000,Phiếu lương,Thu nhập
Phụ cấp tháng 9 2tr hôm nay,1953000,Phiếu lương,Thu nhập
Mua thuốc 28k ck,28000,Sức khỏe,Chi tiêu
Cho Bằng mượn tiền 1tr,1000000,Mượn tiền,Thu nhập
Đám cưới Oanh 1 triệu,1000000,Giải trí,Chi tiêu
Thanh toán Trả tiền cupe Tiên 500k,500000,Trả nợ,Chi tiêu
Sách: Hiểu hết về tiền 230k tiền,230000,Giáo dục,Chi tiêu
Trả lại tiền ăn 100 nghìn,100000,Trả nợ,Chi tiêu
Dán dt cho Mẹ 60 nghìn,60000,Khác,Chi tiêu
Thanh toán Ăn uống vs bạn bè 200k,200000,Giải trí,Chi tiêu
Mẹ cho 800k bằng tiền mặt,800000,Quà tặng,Thu nhập
Mượn tiền 200k bằng tiền mặt,200000,Mượn tiền,Thu nhập
Mua 2 ngày thuốc cảm 40k,40000,Sức khỏe,Chi tiêu
98000,98000,Sức khỏe,Chi tiêu
Thanh toán Đám cưới Ngân Ngân 400k,400000,Đám tiệc,Chi tiêu
Hớt tóc 70k tiền,70000,Hớt tóc,Chi tiêu
30000,30000,Di chuyển,Chi tiêu
Mẹ cho 500k ck,500000,Quà tặng,Thu nhập
Tăng sên 10 nghìn,10000,Khác,Chi tiêu
Nc tẩy  triệuang + srm + bông tẩy  triệuang 395 nghìn,395000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Mua bánh kem sinh nhật anh 2 220k,220000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Reset 39k,39000,Khác,Chi tiêu
Áo + 50k giải CLB Runner LA 200k tiền,200000,Trả nợ,Chi tiêu
Trả tiền cupe Tiên 500k ck,500000,Trả nợ,Chi tiêu
Chat GPT 157 nghìn,157000,Khác,Chi tiêu
Caffe 100k bằng tiền mặt,100000,Mượn tiền,Thu nhập
Sinh nhật Mỹ Nhàn 600k hôm nay,600000,Đám tiệc,Chi tiêu
Ăn sáng 25 nghìn,25000,Tạp phẩm,Chi tiêu
Thanh toán Mẹ cho 1tr,1000000,Quà tặng,Thu nhập
Hùng tiền tất niên 100 nghìn,100000,Trả nợ,Chi tiêu
Nc tẩy trang 165k,165000,Mỹ phẩm chăm sóc da,Chi tiêu
Mở thẻ BIDV 110 nghìn,110000,Khác,Chi tiêu
Bắt grab về nhà nghỉ 589k,589000,Di chuyển,Chi tiêu
Vaselines khô môi 65k,65000,Mỹ phẩm chăm sóc da,Chi tiêu
Uống nước vs bạn 168k,168000,Cafe,Chi tiêu
Làm răng 400k bằng tiền mặt,400000,Sức khỏe,Chi tiêu
4G 5k bằng tiền mặt,5000,4G,Chi tiêu
Thuốc 7 ngày 98 nghìn,98000,Sức khỏe,Chi tiêu
Nạp tiền dt mua mạng 10k hôm nay,10000,4G,Chi tiêu
Ăn kem 30k,30000,Cafe,Chi tiêu
Mua caffe đi tòa 33k tiền,33000,Cafe,Chi tiêu
Trả tiền thiếu 100k,100000,Trả nợ,Chi tiêu
Thanh toán Ăn bửa lãnh lương 100k,100000,Phiếu lương,Thu nhập
Cupe Tiên chuyển tiền 227 nghìn,227000,Khác,Chi tiêu
Photo giấy ôn thi cho Khải 2k,2000,Giáo dục,Chi tiêu
Thanh toán Chat GPT 157k,157000,Khác,Chi tiêu
Sinh nhật anh Tiến 200k hôm nay,200000,Trả nợ,Chi tiêu
Nạp tiền dt cho mẹ 30k bằng tiền mặt,30000,Khác,Chi tiêu
Khám sức khỏe hồ sơ xin việc 120k ck,120000,Sức khỏe,Chi tiêu
Mua vé xem phim 2/9 160k hôm nay,160000,Giải trí,Chi tiêu
Mua vé xem phim 2/9 160k hôm nay,160000,Giải trí,Chi tiêu
Hớt tóc 60 nghìn,60000,Hớt tóc,Chi tiêu
Thay nhớt xe 100k tiền,100000,Khác,Chi tiêu
Thay nhông sên dĩa + mua bánh kem + ăn uống lặt vặt 430k hôm nay,430000,Mỹ phẩm chăm sóc da,Chi tiêu
Trả chị 2 1 triệu,1000000,Trả nợ,Chi tiêu
Xăng xe 30k,30000,Di chuyển,Chi tiêu
Nạp tiền dt 30k bằng tiền mặt,30000,Khác,Chi tiêu
Mượn tiền 200k tiền,200000,Mượn tiền,Thu nhập
Điện + wifi 222k,222000,4G,Chi tiêu
Phụ cấp tháng 12/2025 2.3tr ck,2300000,Phiếu lương,Thu nhập
Mua sữa cho bame 98k hôm nay,98000,Sức khỏe,Chi tiêu
Photo giấy ôn thi cho Khải 2k,2000,Giáo dục,Chi tiêu
Đám cưới 500k tiền,500000,Đám tiệc,Chi tiêu
1962000,1962000,Phiếu lương,Thu nhập
Uống nước vs bạn 168k bằng tiền mặt,168000,Cafe,Chi tiêu
Hùng tiền nhậu 100k bằng tiền mặt,100000,Đám tiệc,Chi tiêu
Hớt tóc 70k,70000,Hớt tóc,Chi tiêu
Thanh toán Bánh kem sinh nhật Khải 210k,210000,Đám tiệc,Chi tiêu
Mạng 5G 150k ck,150000,4G,Chi tiêu
Ăn kem 30k hôm nay,30000,Cafe,Chi tiêu
Thanh toán Hớt tóc 35k,35000,Hớt tóc,Chi tiêu
Tiền nhà 1.2tr tiền,1200000,Tạp phẩm,Chi tiêu
299000,299000,Giáo dục,Chi tiêu
100000,100000,Khác,Chi tiêu
40000,40000,Cafe,Chi tiêu
Thanh toán Cho Hậu mượn 100k 100k,100000,Mượn tiền,Thu nhập
Thanh toán Sinh nhật sếp Hoài 350k,350000,Đám tiệc,Chi tiêu
Thanh toán Ship hàng sim 30k,30000,4G,Chi tiêu
Thay nhông sên dĩa + mua bánh kem + ăn uống lặt vặt 430k ck,430000,Mỹ phẩm chăm sóc da,Chi tiêu
Đám cưới 500k tiền,500000,Đám tiệc,Chi tiêu
Dao cạo râu 22k tiền,22000,Mỹ phẩm chăm sóc da,Chi tiêu
Wifi tháng 5 65k ck,65000,4G,Chi tiêu
Sinh nhật Hậu vs a An vs chị Sương 300k,300000,Đám tiệc,Chi tiêu
Mua caffe đi tòa 33k bằng tiền mặt,33000,Cafe,Chi tiêu
Hớt tóc 70k,70000,Hớt tóc,Chi tiêu
300000,300000,Mượn tiền,Thu nhập
3915000,3915000,Giáo dục,Chi tiêu
Mua sắm 250k tiền,250000,Tạp phẩm,Chi tiêu
6960000,6960000,Giáo dục,Chi tiêu
Xăng 50k hôm nay,50000,Di chuyển,Chi tiêu
200000,200000,Quà tặng,Thu nhập
57000,57000,Giải trí,Chi tiêu
Cho Phát mượn 40k tiền,40000,Mượn tiền,Thu nhập
Bánh kem sinh nhật Khải 210k,210000,Đám tiệc,Chi tiêu
Xăng 30k ck,30000,Di chuyển,Chi tiêu
Mẹ cho tiền mua đồ chuẩn bị nhập ngũ 1 triệu,1000000,Quà tặng,Thu nhập
Ăn sáng 120 nghìn,120000,Tạp phẩm,Chi tiêu
Sách: Hiểu hết về tiền 230k tiền,230000,Giáo dục,Chi tiêu
Thanh toán Hùng tiền tất niên 100k,100000,Trả nợ,Chi tiêu
Ăn sáng 20k ck,20000,Tạp phẩm,Chi tiêu
Trả tiền cupe Tiên 500k ck,500000,Trả nợ,Chi tiêu
Cạo vôi răng 100k ck,100000,Sức khỏe,Chi tiêu
Phụ cấp tháng 9 2tr bằng tiền mặt,1953000,Phiếu lương,Thu nhập
Học phí kỳ 1 UIT 6.3tr,6320000,Giáo dục,Chi tiêu
Lì xì 50k,50000,Quà tặng,Thu nhập
Cho Bằng mượn 1tr bằng tiền mặt,1000000,Mượn tiền,Thu nhập
Uống nước vs bạn 168k ck,168000,Cafe,Chi tiêu
Thanh toán Mua vé xem phim 2/9 160k,160000,Giải trí,Chi tiêu
Làm tóc 260k tiền,260000,Hớt tóc,Chi tiêu
Ăn uống lặt vặt 45k tiền,45000,Tạp phẩm,Chi tiêu
60000,60000,Giáo dục,Chi tiêu
