text,amount_vnd,category,type
Thanh toán Ăn sinh nhật đại ca 300k,300000,Giải trí,Chi tiêu
Nước coca coi phim 57k bằng tiền mặt,57000,Giải trí,Chi tiêu
Thanh toán Hớt tóc 100k,100000,Hớt tóc,Chi tiêu
168000,168000,Cafe,Chi tiêu
Wifi 130k tiền,130000,4G,Chi tiêu
Mua nước rửa tay 40k hôm nay,40000,Tạp phẩm,Chi tiêu
Mua bánh kem sn Vương 50k bằng tiền mặt,50000,Mỹ phẩm chăm sóc da,Chi tiêu
Cắt tóc 60k tiền,60000,Hớt tóc,Chi tiêu
Thuốc men 40k bằng tiền mặt,40000,Sức khỏe,Chi tiêu
Sim 5gb 1.1tr,1050000,4G,Chi tiêu
1000000,1000000,Giải trí,Chi tiêu
Đám cưới Ngân Ngân 400 nghìn,400000,Đám tiệc,Chi tiêu
Mua caffe đi tòa 33 nghìn,33000,Cafe,Chi tiêu
Mượn 2 1tr 1tr ck,1000000,Mượn tiền,Thu nhập
Hớt tóc 2 cậu cháu 120k bằng tiền mặt,120000,Hớt tóc,Chi tiêu
"Mua sách ""Đúng Việc"" 105k ck",105000,Giáo dục,Chi tiêu
Mẹ cho 500k hôm nay,500000,Quà tặng,Thu nhập
Tiền bán dt anh 2 cho 200k bằng tiền mặt,200000,Quà tặng,Thu nhập
Đám cưới Ngân Ngân 400k tiền,400000,Đám tiệc,Chi tiêu
Mạng 5g Viettel 150k tiền,150000,4G,Chi tiêu
Mua caffe đi tòa 33k,33000,Cafe,Chi tiêu
Đám cưới Duyên 500k,500000,Đám tiệc,Chi tiêu
Hớt tóc 60k hôm nay,60000,Hớt tóc,Chi tiêu
Uống nước nghe nhạc 40k ck,40000,Cafe,Chi tiêu
Cho Hậu mượn 100k 100k,100000,Mượn tiền,Thu nhập
Phụ cấp tháng 12/2025 2.3 triệu,2300000,Phiếu lương,Thu nhập
Thanh toán Mua thuốc cảm uống 32k,32000,Sức khỏe,Chi tiêu
Ăn sáng 160k bằng tiền mặt,160000,Tạp phẩm,Chi tiêu
Trà sữa 40k ck,40000,Cafe,Chi tiêu
Cắt tóc 60k bằng tiền mặt,60000,Hớt tóc,Chi tiêu
Mua đồ ăn sáng mình + Thịnh 55k ck,55000,Tạp phẩm,Chi tiêu
210000,210000,Đám tiệc,Chi tiêu
Xăng 30k tiền,30000,Di chuyển,Chi tiêu
Hớt tóc 60k bằng tiền mặt,60000,Hớt tóc,Chi tiêu
Mua dầu gội clear 185k tiền,185000,Mỹ phẩm chăm sóc da,Chi tiêu
Lương tháng 7 180k tiền,180000,Phiếu lương,Thu nhập
30000,30000,Hớt tóc,Chi tiêu
Thay nhớt xe 100k hôm nay,100000,Di chuyển,Chi tiêu
Ăn kem 30k hôm nay,30000,Cafe,Chi tiêu
57000,57000,Giải trí,Chi tiêu
200000,200000,Tạp phẩm,Chi tiêu
39000,39000,Cafe,Chi tiêu
160000,160000,Giải trí,Chi tiêu
Xem phim công tử bạc liêu 146k tiền,146000,Giải trí,Chi tiêu
Mượn tiền ăn Cupe Tiên 450k tiền,450000,Trả nợ,Chi tiêu
Tiền cọc dt tháng cuối 1tr bằng tiền mặt,1000000,Trả nợ,Chi tiêu
Xem phim công tử bạc liêu 146k,146000,Giải trí,Chi tiêu
Thanh toán Mua nc 30k,30000,Tạp phẩm,Chi tiêu
Thanh toán Đổ xăng 30k,30000,Di chuyển,Chi tiêu
Milo + ăn mở sáng cn 100 nghìn,100000,Tạp phẩm,Chi tiêu
Thanh toán Nước coca coi phim 57k,57000,Giải trí,Chi tiêu
5G 150k hôm nay,150000,4G,Chi tiêu
Thanh toán Đám cưới Oanh 1tr,1000000,Giải trí,Chi tiêu
Lương tháng 7 1.8tr hôm nay,1800000,Phiếu lương,Thu nhập
Ăn kem 30k hôm nay,30000,Cafe,Chi tiêu
Đỏ xăng 50k bằng tiền mặt,50000,Di chuyển,Chi tiêu
Thanh toán Hớt tóc 50k,50000,Sức khỏe,Chi tiêu
Caffe vs đám bạn 66k ck,66000,Cafe,Chi tiêu
Mua lốc sữa Ensure cho mami 220k,220000,Sức khỏe,Chi tiêu
Uống nước vs bạn 168k tiền,168000,Cafe,Chi tiêu
Phụ cấp tháng 6/2025 2.1 triệu,2100000,Phiếu lương,Thu nhập
Trail leo núi Dinh BR VT 298k,298000,Giải trí,Chi tiêu
Hớt tóc 30k hôm nay,30000,Hớt tóc,Chi tiêu
Thanh toán Tăng sên 10k,10000,Khác,Chi tiêu
Xăng 30k bằng tiền mặt,30000,Di chuyển,Chi tiêu
1000000,1000000,Quà tặng,Thu nhập
Nạp tiền dt mua mạng 130k hôm nay,130000,4G,Chi tiêu
Thanh toán Chị 2 cho tiền sinh nhật 500k,500000,Quà tặng,Thu nhập
Ăn sáng 15k hôm nay,15000,Tạp phẩm,Chi tiêu
Đưa Cupe Tiên mượn 150k,150000,Mượn tiền,Thu nhập
Đám cưới Huyền 500k,500000,Đám tiệc,Chi tiêu
Mua bánh kem sn Vương 50k tiền,50000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Mượn mẹ 100k,100000,Mượn tiền,Thu nhập
Uống nước nghe nhạc 40 nghìn,40000,Cafe,Chi tiêu
Sinh nhật Linh 220 nghìn,220000,Đám tiệc,Chi tiêu
Trà sữa 40 nghìn,40000,Cafe,Chi tiêu
Trả tiền ship 30k,30000,Khác,Chi tiêu
Sách: Hiểu hết về tiền 230k tiền,230000,Giáo dục,Chi tiêu
Bán chai nc hoa poss 150k bằng tiền mặt,150000,Khác,Chi tiêu
150000,150000,Mượn tiền,Thu nhập
Bông tẩy trang 26k tiền,26000,Mỹ phẩm chăm sóc da,Chi tiêu
Thuốc 7 ngày 98 nghìn,98000,Sức khỏe,Chi tiêu
Nạp tiền dt mua mạng 130k tiền,130000,4G,Chi tiêu
Xăng xe 50k bằng tiền mặt,50000,Di chuyển,Chi tiêu
Hùng tiền tất niên 100k ck,100000,Trả nợ,Chi tiêu
Caffe 100k bằng tiền mặt,100000,Mượn tiền,Thu nhập
"Mua sách ""Thay đổi thói quen đánh thức chính mình"" 299k",299000,Giáo dục,Chi tiêu
Mua bánh xèo vào ăn vs Bằng 100k,100000,Giải trí,Chi tiêu
Cà phê Highlands Coffee 60k,60000,Tạp phẩm,Chi tiêu
395000,395000,Mỹ phẩm chăm sóc da,Chi tiêu
Uống nước vs bạn 168k,168000,Cafe,Chi tiêu
Mẹ cho 1tr hôm nay,1000000,Quà tặng,Thu nhập
Sách: Một cuốn sách về chủ nghĩa tối giản 171 nghìn,171000,Giáo dục,Chi tiêu
Sinh nhật Linh 220k bằng tiền mặt,220000,Đám tiệc,Chi tiêu
Mẹ cho bỏ túi 500k ck,500000,Quà tặng,Thu nhập
Sinh tố bơ 39k tiền,39000,Cafe,Chi tiêu
Uống nước vs bạn 168k ck,168000,Cafe,Chi tiêu
Lương tháng 7 180k tiền,180000,Phiếu lương,Thu nhập
Mua caffe đi tòa 33k hôm nay,33000,Cafe,Chi tiêu
Ăn sáng 30k bằng tiền mặt,30000,Tạp phẩm,Chi tiêu
Ăn sáng 40k hôm nay,40000,Tạp phẩm,Chi tiêu
Mua quần lót 250k bằng tiền mặt,250000,Tạp phẩm,Chi tiêu
Thanh toán Trả tiền cupe Tiên 500k,500000,Trả nợ,Chi tiêu
Ăn uống đi bệnh viện 143k ck,143000,Giải trí,Chi tiêu
Học phí  nghìnỳ 1 UIT 6.3 triệu,6320000,Giáo dục,Chi tiêu
Thanh toán Hớt tóc 30k,30000,Hớt tóc,Chi tiêu
Ăn sáng 60 nghìn,60000,Tạp phẩm,Chi tiêu
Trả chị 2 1tr,1000000,Trả nợ,Chi tiêu
Hùng tiền nhậu 100k ck,100000,Đám tiệc,Chi tiêu
Xăng 30k,30000,Di chuyển,Chi tiêu
Xăng xe 30k hôm nay,30000,Di chuyển,Chi tiêu
Phụ cấp tháng 12/2025 2.3tr ck,2300000,Phiếu lương,Thu nhập
Mẹ cho 1tr hôm nay,1000000,Quà tặng,Thu nhập
Mượn a Hảo tiền mua caffe 50k hôm nay,50000,Trả nợ,Chi tiêu
Ăn cơm  triệuưa 38 nghìn,38000,Tạp phẩm,Chi tiêu
Thanh toán Mua kẹo ngậm 10k,10000,Sức khỏe,Chi tiêu
Ăn uống 60k tiền,60000,Tạp phẩm,Chi tiêu
Thanh toán Rút tiết kiệm 300k,300000,Khác,Chi tiêu
Học phí  nghìnỳ 1 UIT 6.3 triệu,6320000,Giáo dục,Chi tiêu
Mượn tiền mua sách 120k 120k,120000,Mượn tiền,Thu nhập
Điện + wifi 222k,222000,4G,Chi tiêu
Phiếu lương 7.6tr bằng tiền mặt,7643000,Phiếu lương,Thu nhập
230000,230000,Giáo dục,Chi tiêu
6320000,6320000,Giáo dục,Chi tiêu
Thanh toán Tiền ăn lễ 225k,225000,Phiếu lương,Thu nhập
Thanh toán Mẹ cho 500k,500000,Quà tặng,Thu nhập
"Sách ""Một đời như kẻ tìm đường"" 135k",135000,Giáo dục,Chi tiêu
Lương tháng 9 2tr hôm nay,1981000,Phiếu lương,Thu nhập
Đám cưới Oanh 1tr,1000000,Giải trí,Chi tiêu
80000,80000,Quà tặng,Thu nhập
Kem rạng da 327k bằng tiền mặt,327000,Mỹ phẩm chăm sóc da,Chi tiêu
Học phí UIT  nghìnỳ 2 7 triệu,6960000,Giáo dục,Chi tiêu
Mua sữa cho bame 98k bằng tiền mặt,98000,Sức khỏe,Chi tiêu
Hớt tóc 100k ck,100000,Hớt tóc,Chi tiêu
Đổ xăng 50 nghìn,50000,Di chuyển,Chi tiêu
Thuốc cảm 78 nghìn,78000,Sức khỏe,Chi tiêu
Lấy đồ giặt giùm a Khoa 35k bằng tiền mặt,35000,Khác,Chi tiêu
Caffe 100 nghìn,100000,Mượn tiền,Thu nhập
Hớt tóc 50k hôm nay,50000,Hớt tóc,Chi tiêu
Thanh toán Uống nước vs bạn 168k,168000,Cafe,Chi tiêu
1000000,1000000,Giải trí,Chi tiêu
Thanh toán Mua vé xem phim 2/9 160k,160000,Giải trí,Chi tiêu
Thanh toán Đám cưới 500k,500000,Đám tiệc,Chi tiêu
Nạp tiền dt 10k bằng tiền mặt,10000,Khác,Chi tiêu
Mua caffe đi tòa 33k ck,33000,Cafe,Chi tiêu
Học phí kỳ 1 UIT 6.3tr bằng tiền mặt,6320000,Giáo dục,Chi tiêu
Thanh toán Điện + wifi 222k,222000,4G,Chi tiêu
Clear 1.4 triệu,1387000,Khác,Chi tiêu
Ăn phở  nghìnhuya 70 nghìn,70000,Tạp phẩm,Chi tiêu
Thuốc ngậm viêm răng khôn 5k ck,5000,Sức khỏe,Chi tiêu
182000,182000,Giáo dục,Chi tiêu
Chụp hình 4x6 75k tiền,75000,Khác,Chi tiêu
7830000,7830000,Giáo dục,Chi tiêu
Mua nc muối 10k hôm nay,10000,Sức khỏe,Chi tiêu
Uống nước nghe nhạc 40k tiền,40000,Cafe,Chi tiêu
Mua caffe đi tòa 33k,33000,Cafe,Chi tiêu
Đám cưới Oanh 1tr bằng tiền mặt,1000000,Giải trí,Chi tiêu
Chụp hình 4x6 75k bằng tiền mặt,75000,Khác,Chi tiêu
Nạp tiền dt mua mạng 130k bằng tiền mặt,130000,4G,Chi tiêu
K rõ tiền đâu ra 27k,27000,Quà tặng,Thu nhập
Đổ xăng 50 nghìn,50000,Di chuyển,Chi tiêu
Trả chị 2 300 nghìn,300000,Trả nợ,Chi tiêu
Thanh toán Hớt tóc 50k,50000,Hớt tóc,Chi tiêu
"Sữa tắm 159k, gội đầu 155k, lăn khử mùi 115k 419k bằng tiền mặt",419000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua vé xem phim 2/9 160k tiền,160000,Giải trí,Chi tiêu
Đổ xăng 30 nghìn,30000,Di chuyển,Chi tiêu
Đổ xăng 30k ck,30000,Di chuyển,Chi tiêu
Đổ xăng 30k,30000,Di chuyển,Chi tiêu
Uống nước vs bạn 168 nghìn,168000,Cafe,Chi tiêu
A Minh lì xì tết 200k bằng tiền mặt,200000,Quà tặng,Thu nhập
Sách: Hiểu hết về tiền 230k,230000,Giáo dục,Chi tiêu
Thanh toán Học phí kỳ 1 UIT 6.3tr,6320000,Giáo dục,Chi tiêu
Khám sức  nghìnhỏe hồ sơ xin việc 120 nghìn,120000,Sức khỏe,Chi tiêu
Học phí UIT kỳ 4 50% 3.9tr hôm nay,3915000,Giáo dục,Chi tiêu
Trà sữa 40k ck,40000,Cafe,Chi tiêu
Hớt tóc 2 cậu cháu 120k bằng tiền mặt,120000,Hớt tóc,Chi tiêu
Phụ cấp tháng 10 2tr,1952000,Phiếu lương,Thu nhập
Thuốc cảm 154k tiền,154000,Sức khỏe,Chi tiêu
Hùng tiền nhậu 100k bằng tiền mặt,100000,Đám tiệc,Chi tiêu
20000,20000,Tạp phẩm,Chi tiêu
Hớt tóc + cao lông mặt 70 nghìn,70000,Sức khỏe,Chi tiêu
10000,10000,Giải trí,Chi tiêu
Mẹ cho 800k bằng tiền mặt,800000,Quà tặng,Thu nhập
16000,16000,Quà tặng,Thu nhập
"Ăn uống đi lại, sinh hoạt chi tiêu 2 ngày về đi thi 425k tiền",425000,Di chuyển,Chi tiêu
Trả tiền cupe Tiên 500k ck,500000,Trả nợ,Chi tiêu
Định lượng 3 tháng 1.1tr,1073000,Quà tặng,Thu nhập
Sinh nhật Mỹ Nhàn 600 nghìn,600000,Đám tiệc,Chi tiêu
Phiếu lương 7.4tr hôm nay,7400000,Phiếu lương,Thu nhập
Cắt tóc 60k hôm nay,60000,Hớt tóc,Chi tiêu
Thanh toán Đánh bài 50k,50000,Khác,Chi tiêu
Mua thuốc 28k ck,28000,Sức khỏe,Chi tiêu
171000,171000,Giáo dục,Chi tiêu
Khác 80 nghìn,80000,Khác,Chi tiêu
Uống nước nghe nhạc 40k bằng tiền mặt,40000,Cafe,Chi tiêu
Đám cưới Oanh 1 triệu,1000000,Giải trí,Chi tiêu
Định lượng tháng 10 400k tiền,400000,Phiếu lương,Thu nhập
30000,30000,Hớt tóc,Chi tiêu
Hớt tóc 50k ck,50000,Hớt tóc,Chi tiêu
Mua đồ ăn cơm nước aquarius bù  nghìnhoáng 98 nghìn,98000,Tạp phẩm,Chi tiêu
Phụ cấp tháng 11 2.1tr,2072000,Phiếu lương,Thu nhập
Xăng xe 50 nghìn,50000,Di chuyển,Chi tiêu
50000,50000,Sức khỏe,Chi tiêu
Dán dt cho Mẹ 60 nghìn,60000,Khác,Chi tiêu
60000,60000,Hớt tóc,Chi tiêu
Thanh toán Nước coca coi phim 57k,57000,Giải trí,Chi tiêu
Mua caffe đi tòa 33k bằng tiền mặt,33000,Cafe,Chi tiêu
Nạp tiền dt mua mạng 130k bằng tiền mặt,130000,4G,Chi tiêu
Đám cưới Huyền 500k hôm nay,500000,Đám tiệc,Chi tiêu
Điện + wifi 222k,222000,4G,Chi tiêu
Lấy đồ giặt giùm a Khoa 35k hôm nay,35000,Khác,Chi tiêu
30000,30000,Hớt tóc,Chi tiêu
Thanh toán Khác 28k,28000,Khác,Chi tiêu
Mua vé xem phim 2/9 160k bằng tiền mặt,160000,Giải trí,Chi tiêu
Thanh toán Lương tháng 9 2tr,1981000,Phiếu lương,Thu nhập
Mượn 2 mua lẩu 500k tiền,500000,Mượn tiền,Thu nhập
Bắt grab về nhà nghỉ 589k,589000,Di chuyển,Chi tiêu
Nạp tiền dt mua mạng 10 nghìn,10000,4G,Chi tiêu
Đám cưới 500k tiền,500000,Đám tiệc,Chi tiêu
Cho Cupe Tiên mượn đóng tiền học 300k bằng tiền mặt,300000,Mượn tiền,Thu nhập
Đi xe xuống cơ quan 250k ck,250000,Di chuyển,Chi tiêu
Làm tóc 260k tiền,260000,Hớt tóc,Chi tiêu
Mua thuốc 28k ck,28000,Sức khỏe,Chi tiêu
Thanh toán Thuốc ngậm viêm răng khôn 5k,5000,Sức khỏe,Chi tiêu
Dây đeo đồng hồ 310k tiền,310000,Khác,Chi tiêu
Mượn mẹ 100k bằng tiền mặt,100000,Mượn tiền,Thu nhập
200000,200000,Khác,Chi tiêu
2150000,2150000,Phiếu lương,Thu nhập
Sách Tài chính cá nhân dành cho người Việt Nam 157k hôm nay,157000,Giáo dục,Chi tiêu
Thanh toán Ăn sáng 30k,30000,Tạp phẩm,Chi tiêu
146000,146000,Giải trí,Chi tiêu
400000,400000,Đám tiệc,Chi tiêu
Thanh toán Tiền cọc dt tháng cuối 1tr,1000000,Trả nợ,Chi tiêu
Không nhớ rõ hoặc nhầm 96k,96000,Khác,Chi tiêu
"Sách ""Một đời như kẻ tìm đường"" 135k ck",135000,Giáo dục,Chi tiêu
Sinh nhật Linh 220k ck,220000,Đám tiệc,Chi tiêu
Đi bơi 30k ck,30000,Khác,Chi tiêu
Định lượng tháng 10 400k hôm nay,400000,Phiếu lương,Thu nhập
Đặt vớ 60k hôm nay,60000,Khác,Chi tiêu
Thanh toán Uống nước vs bạn 168k,168000,Cafe,Chi tiêu
Học phí UIT kỳ 4 50% 3.9tr,3915000,Giáo dục,Chi tiêu
Đổ xăng 20k tiền,20000,Di chuyển,Chi tiêu
Thanh toán Tiền bán dt anh 2 cho 200k,200000,Quà tặng,Thu nhập
150000,150000,Mượn tiền,Thu nhập
Thanh toán Mua bánh xèo vào ăn vs Bằng 100k,100000,Giải trí,Chi tiêu
3 chuyến bus 18 nghìn,18000,Di chuyển,Chi tiêu
Ăn uống vs bạn bè 200k bằng tiền mặt,200000,Giải trí,Chi tiêu
Lương tháng 1 2tr ck,1962000,Phiếu lương,Thu nhập
800000,800000,Trả nợ,Chi tiêu
Ship hàng sim 30 nghìn,30000,4G,Chi tiêu
Thanh toán Cho Hậu mượn 100k 100k,100000,Mượn tiền,Thu nhập
Thanh toán Xem phim công tử bạc liêu 146k,146000,Giải trí,Chi tiêu
Thanh toán Khác 24k,24000,Khác,Chi tiêu
Học phí UIT kỳ 4 50% 3.9tr hôm nay,3915000,Giáo dục,Chi tiêu
40000,40000,Tạp phẩm,Chi tiêu
Thuốc nhứt răng 31k tiền,31000,Sức khỏe,Chi tiêu
Thanh toán Hớt tóc 60k,60000,Hớt tóc,Chi tiêu
Mượn 2 mua lẩu 500k bằng tiền mặt,500000,Mượn tiền,Thu nhập
Ăn uống đi bệnh viện 143k ck,143000,Giải trí,Chi tiêu
Thanh toán Sinh nhật Hậu vs a An vs chị Sương 300k,300000,Đám tiệc,Chi tiêu
Caffe vs đám bạn 66k hôm nay,66000,Cafe,Chi tiêu
Uống nước vs bạn 168k ck,168000,Cafe,Chi tiêu
Thanh toán Sinh nhật Hậu vs a An vs chị Sương 300k,300000,Đám tiệc,Chi tiêu
Mạng 5G 150k ck,150000,4G,Chi tiêu
Thanh toán Đổ xăng 20k,20000,Di chuyển,Chi tiêu
"Mua sách ""Đúng Việc"" 105k",105000,Giáo dục,Chi tiêu
Lì xì tết 810 nghìn,810000,Quà tặng,Thu nhập
Mua sách 155k ck,155000,Giáo dục,Chi tiêu
Trả Cupe Tiên 200k,200000,Trả nợ,Chi tiêu
70000,70000,Sức khỏe,Chi tiêu
Mua đồ nấu ăn 8k,8000,Tạp phẩm,Chi tiêu
Dán dt cho Mẹ 60 nghìn,60000,Khác,Chi tiêu
220000,220000,Đám tiệc,Chi tiêu
Hớt tóc 50k tiền,50000,Hớt tóc,Chi tiêu
Mượn chị 2 300k,300000,Mượn tiền,Thu nhập
Xem phim công tử bạc liêu 146 nghìn,146000,Giải trí,Chi tiêu
Wifi tháng 5 65k hôm nay,65000,4G,Chi tiêu
Card wifi 255k hôm nay,255000,4G,Chi tiêu
Hớt tóc 100k bằng tiền mặt,100000,Hớt tóc,Chi tiêu
Điện + wifi 222k hôm nay,222000,4G,Chi tiêu
Thanh toán Trả nợ chị 2 1.5tr,1500000,Trả nợ,Chi tiêu
Trả chị 2 300k tiền,300000,Trả nợ,Chi tiêu
Mẹ cho 500k tiền,500000,Quà tặng,Thu nhập
Trả tiền thiếu 100k hôm nay,100000,Trả nợ,Chi tiêu
Hớt tóc 50 nghìn,50000,Hớt tóc,Chi tiêu
230000,230000,Giáo dục,Chi tiêu
100000,100000,Trả nợ,Chi tiêu
Thanh toán Mua nc muối 10k,10000,Sức khỏe,Chi tiêu
Khác 100k ck,100000,Khác,Chi tiêu
6960000,6960000,Giáo dục,Chi tiêu
Trả tiền cupe Tiên 500k ck,500000,Trả nợ,Chi tiêu
Thanh toán Sinh nhật Mỹ Nhàn 600k,600000,Đám tiệc,Chi tiêu
Bánh pía 43k bằng tiền mặt,43000,Tạp phẩm,Chi tiêu
2300000,2300000,Phiếu lương,Thu nhập
Hớt tóc 50k tiền,50000,Sức khỏe,Chi tiêu
Thanh toán Ăn kem 30k,30000,Cafe,Chi tiêu
Đổ xăng 20k,20000,Di chuyển,Chi tiêu
Đám cưới Oanh 1 triệu,1000000,Giải trí,Chi tiêu
Mua thuốc sưng nướu răng 28k ck,28000,Sức khỏe,Chi tiêu
Thanh toán Sinh tố bơ 39k,39000,Cafe,Chi tiêu
3 ngày đi dạy SC 1tr,1000000,Phiếu lương,Thu nhập
100000,100000,Mượn tiền,Thu nhập
K rõ tiền đâu ra 27k ck,27000,Quà tặng,Thu nhập
Sửa rửa mặt 283k bằng tiền mặt,283000,Mỹ phẩm chăm sóc da,Chi tiêu
"Sách ""Chinh phục những điều bất  nghìnhả thi"" 163 nghìn",163000,Giáo dục,Chi tiêu
Nạp tiền dt mua mạng 10 nghìn,10000,4G,Chi tiêu
Trail leo núi Dinh BR VT 298k ck,298000,Giải trí,Chi tiêu
Sim 5gb 1.1tr tiền,1050000,4G,Chi tiêu
Tiền cọc nhà cũ 1.2tr ck,1160000,Quà tặng,Thu nhập
Ăn kem 30k,30000,Cafe,Chi tiêu
Mẹ cho 300k,300000,Quà tặng,Thu nhập
Mẹ cho 500k 500k bằng tiền mặt,500000,Quà tặng,Thu nhập
155000,155000,Giáo dục,Chi tiêu
Định lượng 3 tháng 1.1tr hôm nay,1073000,Quà tặng,Thu nhập
Tăng sên 10k bằng tiền mặt,10000,Khác,Chi tiêu
Trả tiền ship 30 nghìn,30000,Khác,Chi tiêu
300000,300000,Giải trí,Chi tiêu
Kem rạng da 327k bằng tiền mặt,327000,Mỹ phẩm chăm sóc da,Chi tiêu
200000,200000,Quà tặng,Thu nhập
Kem đánh răng 25k ck,25000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua 2 ngày thuốc cảm 40k tiền,40000,Sức khỏe,Chi tiêu
Đổ xăng 50k ck,50000,Di chuyển,Chi tiêu
Đổ xăng 50k hôm nay,50000,Di chuyển,Chi tiêu
4G 5k,5000,4G,Chi tiêu
Lương tháng 10 2tr tiền,1990000,Phiếu lương,Thu nhập
Mượn 2 mua lẩu 500k ck,500000,Mượn tiền,Thu nhập
Ăn kem 30k tiền,30000,Cafe,Chi tiêu
Thanh toán Sinh nhật sếp Hoài 350k,350000,Đám tiệc,Chi tiêu
Cho Hậu mượn 200k tiền,200000,Mượn tiền,Thu nhập
Mượn tiền 2 đi Đà Lạt 2.5tr,2500000,Trả nợ,Chi tiêu
Sách Tài chính cá nhân dành cho người Việt Nam 157k hôm nay,157000,Giáo dục,Chi tiêu
50000,50000,Di chuyển,Chi tiêu
Ăn sáng 30k hôm nay,30000,Tạp phẩm,Chi tiêu
Sinh nhật Linh 220 nghìn,220000,Đám tiệc,Chi tiêu
119000,119000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua bánh kem cho a 2 20k ck,20000,Mỹ phẩm chăm sóc da,Chi tiêu
Mẹ cho 1tr 1tr bằng tiền mặt,1000000,Quà tặng,Thu nhập
Card wifi 255k bằng tiền mặt,255000,4G,Chi tiêu
20000,20000,Di chuyển,Chi tiêu
Bánh kem sinh nhật chị Nị 145k tiền,145000,Đám tiệc,Chi tiêu
Mua thuốc 28k tiền,28000,Sức khỏe,Chi tiêu
2 chén mắm ăn cơm trưa 44k ck,44000,Tạp phẩm,Chi tiêu
Xăng xe 30k tiền,30000,Di chuyển,Chi tiêu
Mua dầu gội clear 185k,185000,Mỹ phẩm chăm sóc da,Chi tiêu
Thanh toán Ăn uống vs bạn bè 200k,200000,Giải trí,Chi tiêu
Thay nhông sên dĩa + mua bánh kem + ăn uống lặt vặt 430k,430000,Mỹ phẩm chăm sóc da,Chi tiêu
Nước coca coi phim 57k,57000,Giải trí,Chi tiêu
Mượn tiền ăn Cupe Tiên 450k bằng tiền mặt,450000,Trả nợ,Chi tiêu
Mua thuốc cảm ho sổ muỗi 48k bằng tiền mặt,48000,Sức khỏe,Chi tiêu
Xăng 50k tiền,50000,Di chuyển,Chi tiêu
Mua lẩu cho nhà ăn 210k,210000,Tạp phẩm,Chi tiêu
200000,200000,Quà tặng,Thu nhập
Đại ca lì xì 200k tiền,200000,Quà tặng,Thu nhập
Thanh toán Mẹ cho 300k,300000,Quà tặng,Thu nhập
Xà bông gội đầu 15k bằng tiền mặt,15000,Mỹ phẩm chăm sóc da,Chi tiêu
Ăn sáng 20k ck,20000,Tạp phẩm,Chi tiêu
Sinh nhật Mỹ Nhàn 600k,600000,Đám tiệc,Chi tiêu
Thanh toán Vaselines khô môi 65k,65000,Mỹ phẩm chăm sóc da,Chi tiêu
100000,100000,Đám tiệc,Chi tiêu
20000,20000,Mỹ phẩm chăm sóc da,Chi tiêu
Ăn uống đổ xăng đi thi 170k ck,170000,Tạp phẩm,Chi tiêu
Mua lốc sữa Ensure cho mami 220k,220000,Sức khỏe,Chi tiêu
Ăn sáng 20k ck,20000,Tạp phẩm,Chi tiêu
"Mua sách ""Thay đổi thói quen đánh thức chính mình"" 299k hôm nay",299000,Giáo dục,Chi tiêu
Nc tẩy trang 165k ck,165000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua chai nước muối súc miệng 10 nghìn,10000,Sức khỏe,Chi tiêu
Trả chị 2 300k ck,300000,Trả nợ,Chi tiêu
Hớt tóc 50k,50000,Hớt tóc,Chi tiêu
Cắt tóc 60k hôm nay,60000,Hớt tóc,Chi tiêu
Dao cạo râu 22k tiền,22000,Mỹ phẩm chăm sóc da,Chi tiêu
Đám cưới Duyên 500k,500000,Đám tiệc,Chi tiêu
Thuốc 7 ngày 98k tiền,98000,Sức khỏe,Chi tiêu
Mượn tiền 2 đi Đà Lạt 2.5tr tiền,2500000,Trả nợ,Chi tiêu
Mẹ cho 500k hôm nay,500000,Quà tặng,Thu nhập
Xăng 50k tiền,50000,Di chuyển,Chi tiêu
18000,18000,Khác,Chi tiêu
Tiền cọc dt tháng cuối 1tr tiền,1000000,Trả nợ,Chi tiêu
Ăn sinh nhật đại ca 300 nghìn,300000,Giải trí,Chi tiêu
Trả Cupe Tiên 200k tiền,200000,Trả nợ,Chi tiêu
4G 5k,5000,4G,Chi tiêu
40000,40000,Cafe,Chi tiêu
Bánh kem sinh nhật chị Nị 145k hôm nay,145000,Đám tiệc,Chi tiêu
395000,395000,Mỹ phẩm chăm sóc da,Chi tiêu
Reset đúng tiền trong ví 56k ck,56000,Khác,Chi tiêu
Hiến máu 50 nghìn,50000,Quà tặng,Thu nhập
Uống nước nghe nhạc 40k ck,40000,Cafe,Chi tiêu
Mẹ cho 500k bằng tiền mặt,500000,Quà tặng,Thu nhập
Trà sữa 40k bằng tiền mặt,40000,Cafe,Chi tiêu
Mượn a Hảo. Đã  triệuả 100 nghìn,100000,Trả nợ,Chi tiêu
Thanh toán Xăng 50k,50000,Di chuyển,Chi tiêu
Thanh toán Hớt tóc 60k,60000,Hớt tóc,Chi tiêu
Sách Tài chính cá nhân dành cho người Việt Nam 157k,157000,Giáo dục,Chi tiêu
Nạp tiền dt mua mạng 10 nghìn,10000,4G,Chi tiêu
Mua sách 182k tiền,182000,Giáo dục,Chi tiêu
